T=3000, N-stage=1, safety_margin=0.92, return=-71.266
T=3000, N-stage=1, safety_margin=0.93, return=-70.561
T=3000, N-stage=1, safety_margin=0.94, return=-70.170
T=3000, N-stage=1, safety_margin=0.95, return=-69.800
T=3000, N-stage=1, safety_margin=0.96, return=-69.396
T=3000, N-stage=1, safety_margin=0.97, return=-69.065
T=3000, N-stage=1, safety_margin=0.98, return=-69.302
T=3000, N-stage=1, safety_margin=0.99, return=-70.542
T=3000, N-stage=1, safety_margin=1.00, return=-71.950
T=3000, N-stage=2, safety_margin=0.92, return=-56.792
T=3000, N-stage=2, safety_margin=0.93, return=-56.270
T=3000, N-stage=2, safety_margin=0.94, return=-55.234
T=3000, N-stage=2, safety_margin=0.95, return=-54.365
T=3000, N-stage=2, safety_margin=0.96, return=-53.722
T=3000, N-stage=2, safety_margin=0.97, return=-53.459
T=3000, N-stage=2, safety_margin=0.98, return=-53.797
T=3000, N-stage=2, safety_margin=0.99, return=-55.000
T=3000, N-stage=2, safety_margin=1.00, return=-56.468
T=3000, N-stage=4, safety_margin=0.92, return=-31.154
T=3000, N-stage=4, safety_margin=0.93, return=-29.625
T=3000, N-stage=4, safety_margin=0.94, return=-28.523
T=3000, N-stage=4, safety_margin=0.95, return=-27.470
T=3000, N-stage=4, safety_margin=0.96, return=-26.881
T=3000, N-stage=4, safety_margin=0.97, return=-27.100
T=3000, N-stage=4, safety_margin=0.98, return=-27.888
T=3000, N-stage=4, safety_margin=0.99, return=-28.637
T=3000, N-stage=4, safety_margin=1.00, return=-30.286
T=3000, N-stage=8, safety_margin=0.92, return=-14.247
T=3000, N-stage=8, safety_margin=0.93, return=-13.601
T=3000, N-stage=8, safety_margin=0.94, return=-13.114
T=3000, N-stage=8, safety_margin=0.95, return=-12.614
T=3000, N-stage=8, safety_margin=0.96, return=-12.583
T=3000, N-stage=8, safety_margin=0.97, return=-13.164
T=3000, N-stage=8, safety_margin=0.98, return=-14.256
T=3000, N-stage=8, safety_margin=0.99, return=-16.225
T=3000, N-stage=8, safety_margin=1.00, return=-18.712
T=3000, N-stage=16, safety_margin=0.92, return=-14.773
T=3000, N-stage=16, safety_margin=0.93, return=-13.916
T=3000, N-stage=16, safety_margin=0.94, return=-12.866
T=3000, N-stage=16, safety_margin=0.95, return=-11.649
T=3000, N-stage=16, safety_margin=0.96, return=-11.038
T=3000, N-stage=16, safety_margin=0.97, return=-11.225
T=3000, N-stage=16, safety_margin=0.98, return=-11.994
T=3000, N-stage=16, safety_margin=0.99, return=-13.571
T=3000, N-stage=16, safety_margin=1.00, return=-15.374
T=3000, N-stage=32, safety_margin=0.92, return=-17.682
T=3000, N-stage=32, safety_margin=0.93, return=-16.376
T=3000, N-stage=32, safety_margin=0.94, return=-14.528
T=3000, N-stage=32, safety_margin=0.95, return=-12.596
T=3000, N-stage=32, safety_margin=0.96, return=-11.372
T=3000, N-stage=32, safety_margin=0.97, return=-12.299
T=3000, N-stage=32, safety_margin=0.98, return=-13.706
T=3000, N-stage=32, safety_margin=0.99, return=-15.828
T=3000, N-stage=32, safety_margin=1.00, return=-18.590
T=3000, N-stage=48, safety_margin=0.92, return=-22.025
T=3000, N-stage=48, safety_margin=0.93, return=-19.602
T=3000, N-stage=48, safety_margin=0.94, return=-17.195
T=3000, N-stage=48, safety_margin=0.95, return=-14.530
T=3000, N-stage=48, safety_margin=0.96, return=-12.842
T=3000, N-stage=48, safety_margin=0.97, return=-14.664
T=3000, N-stage=48, safety_margin=0.98, return=-17.079
T=3000, N-stage=48, safety_margin=0.99, return=-20.534
T=3000, N-stage=48, safety_margin=1.00, return=-24.564
T=3000, N-stage=96, safety_margin=0.92, return=-29.949
T=3000, N-stage=96, safety_margin=0.93, return=-28.408
T=3000, N-stage=96, safety_margin=0.94, return=-23.947
T=3000, N-stage=96, safety_margin=0.95, return=-19.193
T=3000, N-stage=96, safety_margin=0.96, return=-15.122
T=3000, N-stage=96, safety_margin=0.97, return=-17.138
T=3000, N-stage=96, safety_margin=0.98, return=-19.837
T=3000, N-stage=96, safety_margin=0.99, return=-23.602
T=3000, N-stage=96, safety_margin=1.00, return=-28.235
T=3000, N-stage=192, safety_margin=0.92, return=-31.333
T=3000, N-stage=192, safety_margin=0.93, return=-32.409
T=3000, N-stage=192, safety_margin=0.94, return=-30.451
T=3000, N-stage=192, safety_margin=0.95, return=-23.730
T=3000, N-stage=192, safety_margin=0.96, return=-17.251
T=3000, N-stage=192, safety_margin=0.97, return=-19.171
T=3000, N-stage=192, safety_margin=0.98, return=-21.687
T=3000, N-stage=192, safety_margin=0.99, return=-26.072
T=3000, N-stage=192, safety_margin=1.00, return=-30.320
T=3000, N-stage=288, safety_margin=0.92, return=-31.341
T=3000, N-stage=288, safety_margin=0.93, return=-32.412
T=3000, N-stage=288, safety_margin=0.94, return=-30.582
T=3000, N-stage=288, safety_margin=0.95, return=-23.978
T=3000, N-stage=288, safety_margin=0.96, return=-17.671
T=3000, N-stage=288, safety_margin=0.97, return=-19.834
T=3000, N-stage=288, safety_margin=0.98, return=-23.079
T=3000, N-stage=288, safety_margin=0.99, return=-26.969
T=3000, N-stage=288, safety_margin=1.00, return=-31.211
