T=2000, N-stage=8, safety_margin=0.92, return=-14.246
T=2000, N-stage=8, safety_margin=0.93, return=-13.601
T=2000, N-stage=8, safety_margin=0.94, return=-13.114
T=2000, N-stage=8, safety_margin=0.92, return=-14.246, total reward=-68.790
T=2000, N-stage=8, safety_margin=0.93, return=-13.601, total reward=-67.545
T=2000, N-stage=8, safety_margin=0.94, return=-13.114, total reward=-66.473
T=2000, N-stage=8, safety_margin=0.95, return=-12.614, total reward=-65.394
T=2000, N-stage=8, safety_margin=0.96, return=-12.583, total reward=-68.305
T=2000, N-stage=8, safety_margin=0.97, return=-13.164, total reward=-77.131
T=2000, N-stage=8, safety_margin=0.98, return=-14.255, total reward=-91.114
T=2000, N-stage=8, safety_margin=0.99, return=-16.225, total reward=-113.505
T=2000, N-stage=8, safety_margin=1.00, return=-18.711, total reward=-138.677
T=2000, N-stage=16, safety_margin=0.92, return=-14.773, total reward=-68.961
T=2000, N-stage=16, safety_margin=0.93, return=-13.916, total reward=-67.479
T=2000, N-stage=16, safety_margin=0.94, return=-12.866, total reward=-65.788
T=2000, N-stage=16, safety_margin=0.95, return=-11.649, total reward=-63.900
T=2000, N-stage=16, safety_margin=0.96, return=-11.038, total reward=-64.337
T=2000, N-stage=16, safety_margin=0.97, return=-11.224, total reward=-68.258
T=2000, N-stage=16, safety_margin=0.98, return=-11.994, total reward=-77.314
T=2000, N-stage=16, safety_margin=0.99, return=-13.571, total reward=-94.768
T=2000, N-stage=16, safety_margin=1.00, return=-15.373, total reward=-114.845
T=2000, N-stage=32, safety_margin=0.92, return=-17.682, total reward=-71.284
T=2000, N-stage=32, safety_margin=0.93, return=-16.376, total reward=-69.225
T=2000, N-stage=32, safety_margin=0.94, return=-14.528, total reward=-66.561
T=2000, N-stage=32, safety_margin=0.95, return=-12.596, total reward=-63.794
T=2000, N-stage=32, safety_margin=0.96, return=-11.372, total reward=-66.279
T=2000, N-stage=32, safety_margin=0.97, return=-12.299, total reward=-75.876
T=2000, N-stage=32, safety_margin=0.98, return=-13.706, total reward=-89.825
T=2000, N-stage=32, safety_margin=0.99, return=-15.828, total reward=-110.900
T=2000, N-stage=32, safety_margin=1.00, return=-18.590, total reward=-133.813
T=2000, N-stage=64, safety_margin=0.92, return=-25.867, total reward=-102.090
T=2000, N-stage=64, safety_margin=0.93, return=-23.122, total reward=-99.103
T=2000, N-stage=64, safety_margin=0.94, return=-20.030, total reward=-95.471
T=2000, N-stage=64, safety_margin=0.95, return=-16.716, total reward=-91.155
T=2000, N-stage=64, safety_margin=0.96, return=-14.264, total reward=-98.538
T=2000, N-stage=64, safety_margin=0.97, return=-16.124, total reward=-122.360
T=2000, N-stage=64, safety_margin=0.98, return=-18.581, total reward=-151.937
T=2000, N-stage=64, safety_margin=0.99, return=-22.149, total reward=-190.454
T=2000, N-stage=64, safety_margin=1.00, return=-26.329, total reward=-235.080
T=2000, N-stage=128, safety_margin=0.92, return=-30.832, total reward=-121.073
T=2000, N-stage=128, safety_margin=0.93, return=-31.666, total reward=-121.824
T=2000, N-stage=128, safety_margin=0.94, return=-28.176, total reward=-117.919
T=2000, N-stage=128, safety_margin=0.95, return=-21.885, total reward=-110.895
T=2000, N-stage=128, safety_margin=0.96, return=-16.043, total reward=-115.291
T=2000, N-stage=128, safety_margin=0.97, return=-17.970, total reward=-139.975
T=2000, N-stage=128, safety_margin=0.98, return=-20.561, total reward=-171.770
T=2000, N-stage=128, safety_margin=0.99, return=-24.182, total reward=-212.198
T=2000, N-stage=128, safety_margin=1.00, return=-29.427, total reward=-276.349
