T=3000, N-stage=1, safety_margin=0.92, return=-80.904
T=3000, N-stage=1, safety_margin=0.93, return=-80.228
T=3000, N-stage=1, safety_margin=0.94, return=-79.856
T=3000, N-stage=1, safety_margin=0.95, return=-79.389
T=3000, N-stage=1, safety_margin=0.96, return=-78.742
T=3000, N-stage=1, safety_margin=0.97, return=-77.888
T=3000, N-stage=1, safety_margin=0.98, return=-77.604
T=3000, N-stage=1, safety_margin=0.99, return=-78.086
T=3000, N-stage=1, safety_margin=1.00, return=-78.950
T=3000, N-stage=2, safety_margin=0.92, return=-65.579
T=3000, N-stage=2, safety_margin=0.93, return=-65.016
T=3000, N-stage=2, safety_margin=0.94, return=-63.968
T=3000, N-stage=2, safety_margin=0.95, return=-63.053
T=3000, N-stage=2, safety_margin=0.96, return=-62.219
T=3000, N-stage=2, safety_margin=0.97, return=-61.516
T=3000, N-stage=2, safety_margin=0.98, return=-61.452
T=3000, N-stage=2, safety_margin=0.99, return=-62.036
T=3000, N-stage=2, safety_margin=1.00, return=-63.130
T=3000, N-stage=4, safety_margin=0.92, return=-38.624
T=3000, N-stage=4, safety_margin=0.93, return=-37.610
T=3000, N-stage=4, safety_margin=0.94, return=-36.218
T=3000, N-stage=4, safety_margin=0.95, return=-35.178
T=3000, N-stage=4, safety_margin=0.96, return=-34.634
T=3000, N-stage=4, safety_margin=0.97, return=-33.988
T=3000, N-stage=4, safety_margin=0.98, return=-33.521
T=3000, N-stage=4, safety_margin=0.99, return=-33.697
T=3000, N-stage=4, safety_margin=1.00, return=-34.473
T=3000, N-stage=8, safety_margin=0.92, return=-14.999
T=3000, N-stage=8, safety_margin=0.93, return=-14.558
T=3000, N-stage=8, safety_margin=0.94, return=-13.987
T=3000, N-stage=8, safety_margin=0.95, return=-13.575
T=3000, N-stage=8, safety_margin=0.96, return=-13.288
T=3000, N-stage=8, safety_margin=0.97, return=-12.939
T=3000, N-stage=8, safety_margin=0.98, return=-13.516
T=3000, N-stage=8, safety_margin=0.99, return=-14.510
T=3000, N-stage=8, safety_margin=1.00, return=-15.972
T=3000, N-stage=16, safety_margin=0.92, return=-10.564
T=3000, N-stage=16, safety_margin=0.93, return=-9.944
T=3000, N-stage=16, safety_margin=0.94, return=-9.190
T=3000, N-stage=16, safety_margin=0.95, return=-8.474
T=3000, N-stage=16, safety_margin=0.96, return=-7.941
T=3000, N-stage=16, safety_margin=0.97, return=-7.675
T=3000, N-stage=16, safety_margin=0.98, return=-8.035
T=3000, N-stage=16, safety_margin=0.99, return=-9.195
T=3000, N-stage=16, safety_margin=1.00, return=-10.927
T=3000, N-stage=32, safety_margin=0.92, return=-8.936
T=3000, N-stage=32, safety_margin=0.93, return=-7.996
T=3000, N-stage=32, safety_margin=0.94, return=-7.118
T=3000, N-stage=32, safety_margin=0.95, return=-6.418
T=3000, N-stage=32, safety_margin=0.96, return=-6.370
T=3000, N-stage=32, safety_margin=0.97, return=-6.427
T=3000, N-stage=32, safety_margin=0.98, return=-7.136
T=3000, N-stage=32, safety_margin=0.99, return=-8.396
T=3000, N-stage=32, safety_margin=1.00, return=-10.143
T=3000, N-stage=48, safety_margin=0.92, return=-9.058
T=3000, N-stage=48, safety_margin=0.93, return=-8.119
T=3000, N-stage=48, safety_margin=0.94, return=-7.241
T=3000, N-stage=48, safety_margin=0.95, return=-6.542
T=3000, N-stage=48, safety_margin=0.96, return=-6.494
T=3000, N-stage=48, safety_margin=0.97, return=-6.534
