T=2000, N-stage=8, safety_margin=0.92, return=-14.999
T=2000, N-stage=8, safety_margin=0.93, return=-14.558
T=2000, N-stage=8, safety_margin=0.94, return=-13.987
T=2000, N-stage=8, safety_margin=0.92, return=-14.999, total reward=-67.135
T=2000, N-stage=8, safety_margin=0.93, return=-14.558, total reward=-66.116
T=2000, N-stage=8, safety_margin=0.94, return=-13.987, total reward=-64.960
T=2000, N-stage=8, safety_margin=0.95, return=-13.575, total reward=-63.973
T=2000, N-stage=8, safety_margin=0.96, return=-13.288, total reward=-63.122
T=2000, N-stage=8, safety_margin=0.97, return=-12.939, total reward=-62.188
T=2000, N-stage=8, safety_margin=0.98, return=-13.515, total reward=-67.576
T=2000, N-stage=8, safety_margin=0.99, return=-14.509, total reward=-78.515
T=2000, N-stage=8, safety_margin=1.00, return=-15.972, total reward=-94.468
T=2000, N-stage=16, safety_margin=0.92, return=-10.564, total reward=-62.707
T=2000, N-stage=16, safety_margin=0.93, return=-9.944, total reward=-61.486
T=2000, N-stage=16, safety_margin=0.94, return=-9.190, total reward=-60.112
T=2000, N-stage=16, safety_margin=0.95, return=-8.474, total reward=-58.774
T=2000, N-stage=16, safety_margin=0.96, return=-7.940, total reward=-57.634
T=2000, N-stage=16, safety_margin=0.97, return=-7.674, total reward=-56.794
T=2000, N-stage=16, safety_margin=0.98, return=-8.035, total reward=-61.933
T=2000, N-stage=16, safety_margin=0.99, return=-9.195, total reward=-73.061
T=2000, N-stage=16, safety_margin=1.00, return=-10.927, total reward=-89.345
T=2000, N-stage=32, safety_margin=0.92, return=-8.936, total reward=-61.850
T=2000, N-stage=32, safety_margin=0.93, return=-7.996, total reward=-60.246
T=2000, N-stage=32, safety_margin=0.94, return=-7.117, total reward=-58.693
T=2000, N-stage=32, safety_margin=0.95, return=-6.418, total reward=-57.345
T=2000, N-stage=32, safety_margin=0.96, return=-6.369, total reward=-56.740
T=2000, N-stage=32, safety_margin=0.97, return=-6.426, total reward=-56.244
T=2000, N-stage=32, safety_margin=0.98, return=-7.135, total reward=-61.822
T=2000, N-stage=32, safety_margin=0.99, return=-8.396, total reward=-73.029
T=2000, N-stage=32, safety_margin=1.00, return=-10.142, total reward=-89.286
T=2000, N-stage=64, safety_margin=0.92, return=-9.105, total reward=-62.021
T=2000, N-stage=64, safety_margin=0.93, return=-8.161, total reward=-60.390
T=2000, N-stage=64, safety_margin=0.94, return=-7.276, total reward=-58.815
T=2000, N-stage=64, safety_margin=0.95, return=-6.573, total reward=-57.435
T=2000, N-stage=64, safety_margin=0.96, return=-6.519, total reward=-56.795
T=2000, N-stage=64, safety_margin=0.97, return=-6.520, total reward=-56.215
T=2000, N-stage=64, safety_margin=0.98, return=-7.176, total reward=-61.635
T=2000, N-stage=64, safety_margin=0.99, return=-8.352, total reward=-72.740
T=2000, N-stage=64, safety_margin=1.00, return=-10.005, total reward=-88.852
T=2000, N-stage=128, safety_margin=0.92, return=-9.150, total reward=-62.020
T=2000, N-stage=128, safety_margin=0.93, return=-8.202, total reward=-60.378
T=2000, N-stage=128, safety_margin=0.94, return=-7.312, total reward=-58.800
T=2000, N-stage=128, safety_margin=0.95, return=-6.601, total reward=-57.416
T=2000, N-stage=128, safety_margin=0.96, return=-6.542, total reward=-56.779
T=2000, N-stage=128, safety_margin=0.97, return=-6.546, total reward=-56.204
T=2000, N-stage=128, safety_margin=0.98, return=-7.202, total reward=-61.407
T=2000, N-stage=128, safety_margin=0.99, return=-8.390, total reward=-72.525
T=2000, N-stage=128, safety_margin=1.00, return=-10.045, total reward=-88.695
T=2000, N-stage=256, safety_margin=0.92, return=-9.156, total reward=-62.041
T=2000, N-stage=256, safety_margin=0.93, return=-8.204, total reward=-60.408
T=2000, N-stage=256, safety_margin=0.94, return=-7.312, total reward=-58.832
T=2000, N-stage=256, safety_margin=0.95, return=-6.601, total reward=-57.452
T=2000, N-stage=256, safety_margin=0.96, return=-6.542, total reward=-56.822
T=2000, N-stage=256, safety_margin=0.97, return=-6.550, total reward=-56.262
T=2000, N-stage=256, safety_margin=0.98, return=-7.220, total reward=-61.516
T=2000, N-stage=256, safety_margin=0.99, return=-8.419, total reward=-72.655
T=2000, N-stage=256, safety_margin=1.00, return=-10.096, total reward=-88.850
